656.0,932.796875,631.0,274.796875
583.0,941.796875,558.0,270.796875
508.0,937.796875,484.0,273.796875
433.0,941.796875,409.0,284.796875
358.0,943.796875,335.0,294.796875
270.0,298.796875,292.0,940.796875
221.0,946.796875,199.0,306.796875
562.0,345.796875,71.0,387.796875
698.0,347.796875,556.0,346.796875
73.0,458.796875,698.0,418.796875
703.0,493.796875,80.0,528.796875
76.0,598.796875,704.0,564.796875
710.0,640.796875,80.0,667.796875
83.0,735.796875,711.0,711.796875
713.5,783.8984375,85.0,804.3984375
86.5,876.3984375,717.0,858.3984375
154.5,945.8984375,131.0,311.8984375
696.0,263.59375,720.0,929.59375
70.0,315.59375,696.0,267.59375
92.0,947.59375,68.0,323.59375
82.0,947.59375,728.0,935.59375
