546.25,1110.75,577.0,524.5
513.0,521.5,480.75,1106.0
449.5,516.75,415.25,1101.25
322.0,509.0,284.75,1092.25
237.5,824.0,257.5,505.5
218.5,1087.75,237.25,823.5
169.75,883.5,154.0,1082.75
187.125,629.375,170.0,882.75
96.5,1074.5,136.75,501.5
156.0,1084.0,96.5,1074.0
678.0,1119.5,157.0,1084.0
288.0,1026.5,681.5,1052.5
159.0,1017.5,288.0,1027.0
99.0,1010.5,158.0,1018.0
685.25,986.0,105.5,943.75
110.25,879.0,687.0,919.75
689.75,854.0,115.5,815.75
693.5,789.0,120.75,752.5
125.5,688.75,696.0,724.5
315.0,637.25,130.0,626.25
699.5,659.5,314.25,637.75
573.25,589.0,702.5,595.5
445.5,581.5,573.25,589.0
318.0,572.5,445.25,581.5
191.25,565.0,318.0,572.5
132.5,563.75,191.0,565.0
513.0,520.5,706.5,531.5
194.0,500.5,321.25,507.0
136.0,501.0,194.5,500.0
